área bounding box,ocorrências,%
25900,34,0.0062%
25905,2,0.0004%
25908,5,0.0009%
25912,9,0.0016%
25915,2,0.0004%
25916,4,0.0007%
25917,1,0.0002%
25920,109,0.0198%
25921,3,0.0005%
25925,1,0.0002%
25926,23,0.0042%
25929,2,0.0004%
25935,24,0.0044%
25938,8,0.0015%
25942,28,0.0051%
25944,39,0.0071%
25947,2,0.0004%
25950,22,0.004%
25953,5,0.0009%
25955,65,0.0118%
25956,16,0.0029%
25957,4,0.0007%
25960,24,0.0044%
25970,31,0.0056%
25972,25,0.0045%
25974,8,0.0015%
25976,3,0.0005%
25979,11,0.002%
25984,8,0.0015%
25986,34,0.0062%
25988,51,0.0093%
25990,7,0.0013%
25992,16,0.0029%
25993,5,0.0009%
25996,4,0.0007%
26000,7,0.0013%
26001,10,0.0018%
26004,6,0.0011%
26010,9,0.0016%
26013,5,0.0009%
26015,6,0.0011%
26016,4,0.0007%
26019,30,0.0054%
26025,4,0.0007%
26026,53,0.0096%
26028,6,0.0011%
26030,10,0.0018%
26036,2,0.0004%
26038,4,0.0007%
26040,62,0.0112%
26048,19,0.0034%
26051,3,0.0005%
26052,5,0.0009%
26055,4,0.0007%
26058,6,0.0011%
26059,14,0.0025%
26061,4,0.0007%
26062,13,0.0024%
26063,1,0.0002%
26064,88,0.016%
26065,1,0.0002%
26068,13,0.0024%
26069,4,0.0007%
26070,4,0.0007%
26075,18,0.0033%
26076,28,0.0051%
26078,27,0.0049%
26080,6,0.0011%
26082,9,0.0016%
26085,20,0.0036%
26091,8,0.0015%
26093,2,0.0004%
26095,2,0.0004%
26096,4,0.0007%
26100,106,0.0192%
26103,7,0.0013%
26104,3,0.0005%
26105,2,0.0004%
26106,5,0.0009%
26108,18,0.0033%
26110,2,0.0004%
26112,41,0.0074%
26117,4,0.0007%
26122,2,0.0004%
26123,7,0.0013%
26124,11,0.002%
26125,10,0.0018%
26128,28,0.0051%
26130,8,0.0015%
26132,9,0.0016%
26133,4,0.0007%
26134,26,0.0047%
26136,11,0.002%
26137,1,0.0002%
26144,20,0.0036%
26145,21,0.0038%
26149,2,0.0004%
26151,1,0.0002%
26159,6,0.0011%
26160,19,0.0034%
26162,5,0.0009%
26163,10,0.0018%
26164,5,0.0009%
26166,47,0.0085%
26167,1,0.0002%
26169,24,0.0044%
26175,1,0.0002%
26180,32,0.0058%
26182,15,0.0027%
26187,13,0.0024%
26190,6,0.0011%
26195,2,0.0004%
26196,69,0.0125%
26197,1,0.0002%
26199,3,0.0005%
26200,4,0.0007%
26201,12,0.0022%
26208,64,0.0116%
26214,4,0.0007%
26215,10,0.0018%
26216,16,0.0029%
26219,8,0.0015%
26220,26,0.0047%
26224,21,0.0038%
26226,25,0.0045%
26228,9,0.0016%
26230,5,0.0009%
26235,9,0.0016%
26240,5,0.0009%
26243,2,0.0004%
26244,2,0.0004%
26245,84,0.0152%
26248,3,0.0005%
26250,28,0.0051%
26255,2,0.0004%
26257,11,0.002%
26260,8,0.0015%
26264,11,0.002%
26265,9,0.0016%
26266,1,0.0002%
26268,6,0.0011%
26269,12,0.0022%
26270,14,0.0025%
26271,4,0.0007%
26274,31,0.0056%
26280,61,0.0111%
26286,1,0.0002%
26287,7,0.0013%
26288,11,0.002%
26289,3,0.0005%
26290,8,0.0015%
26292,9,0.0016%
26296,6,0.0011%
26299,6,0.0011%
26300,1,0.0002%
26304,27,0.0049%
26311,13,0.0024%
26312,36,0.0065%
26313,40,0.0073%
26314,10,0.0018%
26315,5,0.0009%
26316,24,0.0044%
26320,22,0.004%
26322,32,0.0058%
26325,11,0.002%
26329,8,0.0015%
26331,2,0.0004%
26332,3,0.0005%
26334,30,0.0054%
26335,3,0.0005%
26344,16,0.0029%
26350,40,0.0073%
26352,37,0.0067%
26353,2,0.0004%
26355,24,0.0044%
26361,7,0.0013%
26362,5,0.0009%
26364,4,0.0007%
26367,12,0.0022%
26368,27,0.0049%
26372,4,0.0007%
26373,38,0.0069%
26375,2,0.0004%
26376,35,0.0063%
26378,20,0.0036%
26384,4,0.0007%
26386,8,0.0015%
26390,79,0.0143%
26394,18,0.0033%
26397,1,0.0002%
26398,5,0.0009%
26400,72,0.0131%
26402,30,0.0054%
26404,9,0.0016%
26406,4,0.0007%
26410,6,0.0011%
26411,2,0.0004%
26412,27,0.0049%
26414,2,0.0004%
26416,23,0.0042%
26418,7,0.0013%
26425,22,0.004%
26426,45,0.0082%
26429,9,0.0016%
26432,7,0.0013%
26433,6,0.0011%
26435,36,0.0065%
26441,23,0.0042%
26442,9,0.0016%
26445,2,0.0004%
26448,45,0.0082%
26450,3,0.0005%
26455,14,0.0025%
26460,133,0.0241%
26462,3,0.0005%
26466,1,0.0002%
26467,8,0.0015%
26469,4,0.0007%
26471,28,0.0051%
26474,2,0.0004%
26475,1,0.0002%
26480,1,0.0002%
26481,6,0.0011%
26483,2,0.0004%
26487,14,0.0025%
26488,49,0.0089%
26492,31,0.0056%
26496,43,0.0078%
26500,15,0.0027%
26505,11,0.002%
26508,13,0.0024%
26520,109,0.0198%
26522,39,0.0071%
26524,2,0.0004%
26529,5,0.0009%
26530,1,0.0002%
26532,21,0.0038%
26533,3,0.0005%
26535,43,0.0078%
26536,17,0.0031%
26537,8,0.0015%
26543,6,0.0011%
26544,15,0.0027%
26549,1,0.0002%
26550,25,0.0045%
26553,6,0.0011%
26554,22,0.004%
26555,1,0.0002%
26558,6,0.0011%
26559,2,0.0004%
26560,3,0.0005%
26562,8,0.0015%
26563,1,0.0002%
26564,11,0.002%
26565,18,0.0033%
26566,1,0.0002%
26568,40,0.0073%
26569,2,0.0004%
26572,47,0.0085%
26574,84,0.0152%
26576,27,0.0049%
26578,10,0.0018%
26586,4,0.0007%
26588,9,0.0016%
26592,6,0.0011%
26593,1,0.0002%
26595,5,0.0009%
26596,18,0.0033%
26598,22,0.004%
26600,73,0.0132%
26602,3,0.0005%
26605,47,0.0085%
26606,7,0.0013%
26607,25,0.0045%
26611,7,0.0013%
26620,8,0.0015%
26622,15,0.0027%
26623,1,0.0002%
26624,25,0.0045%
26625,5,0.0009%
26628,1,0.0002%
26631,2,0.0004%
26634,1,0.0002%
26640,102,0.0185%
26642,15,0.0027%
26643,15,0.0027%
26649,6,0.0011%
26650,2,0.0004%
26656,30,0.0054%
26660,72,0.0131%
26663,4,0.0007%
26664,14,0.0025%
26666,13,0.0024%
26668,10,0.0018%
26670,28,0.0051%
26671,52,0.0094%
26675,10,0.0018%
26676,49,0.0089%
26677,1,0.0002%
26680,31,0.0056%
26688,9,0.0016%
26690,54,0.0098%
26691,3,0.0005%
26695,3,0.0005%
26696,27,0.0049%
26700,28,0.0051%
26702,11,0.002%
26703,4,0.0007%
26705,22,0.004%
26709,1,0.0002%
26712,20,0.0036%
26715,11,0.002%
26718,30,0.0054%
26719,1,0.0002%
26720,7,0.0013%
26724,13,0.0024%
26726,7,0.0013%
26727,35,0.0063%
26728,5,0.0009%
26730,46,0.0083%
26732,6,0.0011%
26733,10,0.0018%
26740,1,0.0002%
26741,8,0.0015%
26746,32,0.0058%
26750,16,0.0029%
26752,25,0.0045%
26754,40,0.0073%
26760,9,0.0016%
26765,1,0.0002%
26767,1,0.0002%
26768,4,0.0007%
26772,22,0.004%
26775,48,0.0087%
26780,32,0.0058%
26781,3,0.0005%
26784,30,0.0054%
26786,2,0.0004%
26788,51,0.0093%
26789,12,0.0022%
26790,14,0.0025%
26792,5,0.0009%
26793,10,0.0018%
26795,6,0.0011%
26796,42,0.0076%
26797,1,0.0002%
26800,22,0.004%
26811,2,0.0004%
26814,14,0.0025%
26815,4,0.0007%
26818,10,0.0018%
26820,43,0.0078%
26825,7,0.0013%
26826,2,0.0004%
26827,3,0.0005%
26828,2,0.0004%
26829,2,0.0004%
26832,54,0.0098%
26838,15,0.0027%
26840,25,0.0045%
26845,7,0.0013%
26847,8,0.0015%
26850,23,0.0042%
26852,33,0.006%
26855,15,0.0027%
26857,14,0.0025%
26860,13,0.0024%
26862,12,0.0022%
26864,9,0.0016%
26865,16,0.0029%
26866,15,0.0027%
26871,7,0.0013%
26875,3,0.0005%
26877,4,0.0007%
26878,44,0.008%
26880,28,0.0051%
26883,19,0.0034%
26884,16,0.0029%
26885,2,0.0004%
26887,6,0.0011%
26892,14,0.0025%
26894,6,0.0011%
26895,10,0.0018%
26896,1,0.0002%
26900,4,0.0007%
26901,24,0.0044%
26904,34,0.0062%
26908,1,0.0002%
26909,2,0.0004%
26910,26,0.0047%
26912,2,0.0004%
26918,71,0.0129%
26923,16,0.0029%
26924,6,0.0011%
26928,92,0.0167%
26931,6,0.0011%
26934,41,0.0074%
26936,47,0.0085%
26937,2,0.0004%
26939,3,0.0005%
26950,54,0.0098%
26956,3,0.0005%
26960,1,0.0002%
26961,16,0.0029%
26962,3,0.0005%
26964,8,0.0015%
26966,10,0.0018%
26967,19,0.0034%
26969,22,0.004%
26970,48,0.0087%
26973,7,0.0013%
26978,2,0.0004%
26979,1,0.0002%
26980,12,0.0022%
26983,8,0.0015%
26985,3,0.0005%
26986,20,0.0036%
26988,3,0.0005%
26989,12,0.0022%
26992,4,0.0007%
26994,1,0.0002%
26999,30,0.0054%
27000,59,0.0107%
27004,31,0.0056%
27007,3,0.0005%
27008,1,0.0002%
27010,15,0.0027%
27013,1,0.0002%
27016,36,0.0065%
27018,12,0.0022%
27020,5,0.0009%
27022,8,0.0015%
27023,1,0.0002%
27025,1,0.0002%
27027,28,0.0051%
27028,7,0.0013%
27029,30,0.0054%
27030,14,0.0025%
27032,6,0.0011%
27040,25,0.0045%
27048,58,0.0105%
27051,4,0.0007%
27054,4,0.0007%
27056,48,0.0087%
27057,13,0.0024%
27058,8,0.0015%
27060,54,0.0098%
27063,6,0.0011%
27064,21,0.0038%
27066,1,0.0002%
27068,66,0.012%
27071,4,0.0007%
27072,32,0.0058%
27075,4,0.0007%
27081,15,0.0027%
27084,62,0.0112%
27090,25,0.0045%
27097,4,0.0007%
27100,5,0.0009%
27104,62,0.0112%
27105,13,0.0024%
27108,3,0.0005%
27115,12,0.0022%
27117,11,0.002%
27118,32,0.0058%
27120,3,0.0005%
27122,11,0.002%
27125,19,0.0034%
27126,11,0.002%
27132,47,0.0085%
27135,46,0.0083%
27136,7,0.0013%
27140,21,0.0038%
27141,8,0.0015%
27142,2,0.0004%
27144,18,0.0033%
27145,21,0.0038%
27146,3,0.0005%
27150,39,0.0071%
27156,29,0.0053%
27160,12,0.0022%
27161,5,0.0009%
27166,4,0.0007%
27168,2,0.0004%
27169,2,0.0004%
27170,46,0.0083%
27176,6,0.0011%
27178,5,0.0009%
27180,39,0.0071%
27181,1,0.0002%
27183,1,0.0002%
27186,22,0.004%
27189,5,0.0009%
27192,45,0.0082%
27195,27,0.0049%
27200,15,0.0027%
27202,58,0.0105%
27206,2,0.0004%
27208,24,0.0044%
27209,29,0.0053%
27213,4,0.0007%
27216,29,0.0053%
27219,7,0.0013%
27221,7,0.0013%
27222,1,0.0002%
27224,8,0.0015%
27225,12,0.0022%
27231,33,0.006%
27232,30,0.0054%
27233,5,0.0009%
27234,35,0.0063%
27240,1,0.0002%
27242,3,0.0005%
27244,27,0.0049%
27246,5,0.0009%
27248,30,0.0054%
27249,9,0.0016%
27250,9,0.0016%
27251,3,0.0005%
27255,2,0.0004%
27257,3,0.0005%
27258,14,0.0025%
27260,24,0.0044%
27261,6,0.0011%
27262,1,0.0002%
27263,9,0.0016%
27264,15,0.0027%
27265,57,0.0103%
27267,43,0.0078%
27269,1,0.0002%
27270,80,0.0145%
27280,86,0.0156%
27285,5,0.0009%
27288,2,0.0004%
27295,4,0.0007%
27297,1,0.0002%
27300,56,0.0102%
27302,13,0.0024%
27303,1,0.0002%
27305,1,0.0002%
27306,24,0.0044%
27313,11,0.002%
27318,41,0.0074%
27323,23,0.0042%
27324,34,0.0062%
27328,4,0.0007%
27331,37,0.0067%
27334,4,0.0007%
27335,5,0.0009%
27336,66,0.012%
27342,23,0.0042%
27346,5,0.0009%
27348,6,0.0011%
27352,5,0.0009%
27354,12,0.0022%
27359,3,0.0005%
27360,58,0.0105%
27368,19,0.0034%
27370,27,0.0049%
27371,9,0.0016%
27376,1,0.0002%
27378,19,0.0034%
27379,24,0.0044%
27380,27,0.0049%
27383,10,0.0018%
27384,14,0.0025%
27387,28,0.0051%
27388,2,0.0004%
27390,24,0.0044%
27391,21,0.0038%
27392,11,0.002%
27398,14,0.0025%
27400,11,0.002%
27404,2,0.0004%
27405,56,0.0102%
27406,7,0.0013%
27412,45,0.0082%
27416,39,0.0071%
27417,20,0.0036%
27423,6,0.0011%
27429,1,0.0002%
27430,5,0.0009%
27432,11,0.002%
27435,13,0.0024%
27438,5,0.0009%
27440,23,0.0042%
27448,14,0.0025%
27450,16,0.0029%
27451,5,0.0009%
27455,7,0.0013%
27456,94,0.0171%
27459,2,0.0004%
27462,4,0.0007%
27467,2,0.0004%
27468,5,0.0009%
27470,38,0.0069%
27472,17,0.0031%
27473,1,0.0002%
27474,1,0.0002%
27475,15,0.0027%
27477,1,0.0002%
27480,3,0.0005%
27482,46,0.0083%
27485,3,0.0005%
27489,20,0.0036%
27492,14,0.0025%
27494,7,0.0013%
27495,7,0.0013%
27499,6,0.0011%
27500,23,0.0042%
27501,7,0.0013%
27504,10,0.0018%
27507,5,0.0009%
27508,2,0.0004%
27510,5,0.0009%
27512,49,0.0089%
27520,9,0.0016%
27522,26,0.0047%
27528,38,0.0069%
27531,25,0.0045%
27534,2,0.0004%
27537,11,0.002%
27538,1,0.0002%
27540,48,0.0087%
27542,7,0.0013%
27544,25,0.0045%
27547,19,0.0034%
27548,9,0.0016%
27550,14,0.0025%
27552,24,0.0044%
27555,8,0.0015%
27556,4,0.0007%
27560,7,0.0013%
27565,15,0.0027%
27566,25,0.0045%
27571,1,0.0002%
27572,4,0.0007%
27573,13,0.0024%
27577,3,0.0005%
27580,21,0.0038%
27588,29,0.0053%
27590,24,0.0044%
27594,9,0.0016%
27599,7,0.0013%
27600,51,0.0093%
27602,1,0.0002%
27604,10,0.0018%
27606,6,0.0011%
27608,35,0.0063%
27610,4,0.0007%
27612,9,0.0016%
27615,4,0.0007%
27621,5,0.0009%
27625,1,0.0002%
27630,5,0.0009%
27632,28,0.0051%
27633,3,0.0005%
27634,1,0.0002%
27636,26,0.0047%
27639,25,0.0045%
27641,5,0.0009%
27642,3,0.0005%
27643,1,0.0002%
27645,8,0.0015%
27648,8,0.0015%
27650,11,0.002%
27652,5,0.0009%
27661,1,0.0002%
27664,47,0.0085%
27666,14,0.0025%
27667,2,0.0004%
27674,31,0.0056%
27675,20,0.0036%
27676,12,0.0022%
27679,10,0.0018%
27680,17,0.0031%
27685,7,0.0013%
27686,11,0.002%
27690,18,0.0033%
27692,7,0.0013%
27693,7,0.0013%
27695,24,0.0044%
27700,4,0.0007%
27702,14,0.0025%
27707,2,0.0004%
27709,1,0.0002%
27710,17,0.0031%
27713,13,0.0024%
27714,6,0.0011%
27715,4,0.0007%
27716,21,0.0038%
27720,104,0.0189%
27722,16,0.0029%
27724,1,0.0002%
27727,5,0.0009%
27729,2,0.0004%
27730,13,0.0024%
27734,4,0.0007%
27735,3,0.0005%
27738,32,0.0058%
27740,11,0.002%
27742,9,0.0016%
27744,34,0.0062%
27745,17,0.0031%
27750,41,0.0074%
27753,2,0.0004%
27755,3,0.0005%
27756,6,0.0011%
27768,21,0.0038%
27772,2,0.0004%
27775,11,0.002%
27776,25,0.0045%
27777,11,0.002%
27778,1,0.0002%
27782,1,0.0002%
27783,16,0.0029%
27784,15,0.0027%
27789,6,0.0011%
27792,9,0.0016%
27795,2,0.0004%
27797,10,0.0018%
27798,15,0.0027%
27800,15,0.0027%
27804,1,0.0002%
27807,1,0.0002%
27808,37,0.0067%
27810,48,0.0087%
27811,36,0.0065%
27813,1,0.0002%
27816,14,0.0025%
27819,4,0.0007%
27820,7,0.0013%
27824,15,0.0027%
27825,4,0.0007%
27830,14,0.0025%
27832,20,0.0036%
27835,3,0.0005%
27839,5,0.0009%
27840,27,0.0049%
27846,24,0.0044%
27848,1,0.0002%
27852,3,0.0005%
27853,22,0.004%
27857,13,0.0024%
27860,5,0.0009%
27861,3,0.0005%
27863,13,0.0024%
27864,8,0.0015%
27872,21,0.0038%
27873,7,0.0013%
27874,7,0.0013%
27875,2,0.0004%
27876,48,0.0087%
27878,6,0.0011%
27880,39,0.0071%
27885,23,0.0042%
27886,18,0.0033%
27888,32,0.0058%
27889,6,0.0011%
27896,28,0.0051%
27898,1,0.0002%
27900,33,0.006%
27904,8,0.0015%
27911,13,0.0024%
27913,5,0.0009%
27918,10,0.0018%
27920,1,0.0002%
27921,4,0.0007%
27924,16,0.0029%
27927,3,0.0005%
27930,38,0.0069%
27935,7,0.0013%
27936,16,0.0029%
27937,4,0.0007%
27938,6,0.0011%
27939,23,0.0042%
27940,10,0.0018%
27945,14,0.0025%
27946,14,0.0025%
27948,33,0.006%
27950,3,0.0005%
27951,13,0.0024%
27956,1,0.0002%
27960,7,0.0013%
27962,1,0.0002%
27965,5,0.0009%
27966,11,0.002%
27968,11,0.002%
27972,13,0.0024%
27974,11,0.002%
27976,6,0.0011%
27977,4,0.0007%
27984,23,0.0042%
27985,18,0.0033%
27990,18,0.0033%
27993,6,0.0011%
27999,3,0.0005%
28000,27,0.0049%
28006,4,0.0007%
28012,16,0.0029%
28013,2,0.0004%
28014,117,0.0212%
28016,20,0.0036%
28017,4,0.0007%
28024,9,0.0016%
28025,1,0.0002%
28026,16,0.0029%
28028,20,0.0036%
28032,18,0.0033%
28033,2,0.0004%
28034,5,0.0009%
28035,7,0.0013%
28036,4,0.0007%
28044,17,0.0031%
28045,1,0.0002%
28046,2,0.0004%
28050,29,0.0053%
28054,17,0.0031%
28055,5,0.0009%
28056,52,0.0094%
28059,3,0.0005%
28060,12,0.0022%
28063,9,0.0016%
28067,1,0.0002%
28070,2,0.0004%
28072,5,0.0009%
28073,1,0.0002%
28077,14,0.0025%
28078,16,0.0029%
28080,89,0.0161%
28083,9,0.0016%
28084,5,0.0009%
28085,61,0.0111%
28086,6,0.0011%
28090,3,0.0005%
28098,3,0.0005%
28100,3,0.0005%
28101,1,0.0002%
28103,16,0.0029%
28106,2,0.0004%
28107,3,0.0005%
28112,9,0.0016%
28116,7,0.0013%
28119,2,0.0004%
28120,29,0.0053%
28122,6,0.0011%
28124,16,0.0029%
28125,1,0.0002%
28126,5,0.0009%
28128,1,0.0002%
28130,23,0.0042%
28135,2,0.0004%
28137,21,0.0038%
28140,41,0.0074%
28141,3,0.0005%
28143,11,0.002%
28148,1,0.0002%
28152,72,0.0131%
28158,4,0.0007%
28160,11,0.002%
28161,10,0.0018%
28165,2,0.0004%
28167,2,0.0004%
28170,28,0.0051%
28171,11,0.002%
28175,14,0.0025%
28178,9,0.0016%
28179,8,0.0015%
28182,32,0.0058%
28184,4,0.0007%
28188,14,0.0025%
28193,9,0.0016%
28194,12,0.0022%
28196,4,0.0007%
28197,3,0.0005%
28199,14,0.0025%
28200,23,0.0042%
28203,2,0.0004%
28208,9,0.0016%
28210,10,0.0018%
28215,55,0.01%
28217,27,0.0049%
28220,22,0.004%
28222,36,0.0065%
28223,17,0.0031%
28224,48,0.0087%
28227,3,0.0005%
28231,5,0.0009%
28236,17,0.0031%
28237,13,0.0024%
28240,1,0.0002%
28244,1,0.0002%
28245,2,0.0004%
28248,9,0.0016%
28250,11,0.002%
28251,1,0.0002%
28254,3,0.0005%
28258,3,0.0005%
28260,18,0.0033%
28268,7,0.0013%
28269,1,0.0002%
28270,7,0.0013%
28272,18,0.0033%
28274,36,0.0065%
28275,10,0.0018%
28280,26,0.0047%
28282,11,0.002%
28288,21,0.0038%
28290,70,0.0127%
28294,2,0.0004%
28296,4,0.0007%
28300,3,0.0005%
28301,2,0.0004%
28302,19,0.0034%
28303,1,0.0002%
28304,6,0.0011%
28305,12,0.0022%
28308,1,0.0002%
28310,11,0.002%
28314,39,0.0071%
28320,18,0.0033%
28321,3,0.0005%
28322,8,0.0015%
28324,8,0.0015%
28325,9,0.0016%
28329,2,0.0004%
28336,21,0.0038%
28340,7,0.0013%
28341,47,0.0085%
28350,62,0.0112%
28355,5,0.0009%
28356,37,0.0067%
28359,19,0.0034%
28362,18,0.0033%
28363,5,0.0009%
28365,11,0.002%
28368,14,0.0025%
28371,6,0.0011%
28372,11,0.002%
28375,1,0.0002%
28380,17,0.0031%
28381,3,0.0005%
28386,23,0.0042%
28388,6,0.0011%
28390,5,0.0009%
28391,7,0.0013%
28392,47,0.0085%
28396,1,0.0002%
28400,13,0.0024%
28404,9,0.0016%
28405,6,0.0011%
28408,25,0.0045%
28413,18,0.0033%
28416,15,0.0027%
28417,8,0.0015%
28420,63,0.0114%
28421,1,0.0002%
28424,28,0.0051%
28425,1,0.0002%
28426,9,0.0016%
28427,3,0.0005%
28428,51,0.0093%
28431,5,0.0009%
28435,6,0.0011%
28438,3,0.0005%
28440,13,0.0024%
28448,7,0.0013%
28449,5,0.0009%
28454,1,0.0002%
28455,3,0.0005%
28457,19,0.0034%
28458,19,0.0034%
28459,9,0.0016%
28461,10,0.0018%
28462,7,0.0013%
28466,2,0.0004%
28470,11,0.002%
28471,1,0.0002%
28475,2,0.0004%
28476,10,0.0018%
28480,26,0.0047%
28482,93,0.0169%
28483,11,0.002%
28485,17,0.0031%
28490,15,0.0027%
28495,68,0.0123%
28496,23,0.0042%
28497,12,0.0022%
28500,40,0.0073%
28512,33,0.006%
28514,7,0.0013%
28518,8,0.0015%
28520,17,0.0031%
28525,13,0.0024%
28527,4,0.0007%
28530,3,0.0005%
28531,2,0.0004%
28536,11,0.002%
28539,9,0.0016%
28542,62,0.0112%
28544,2,0.0004%
28545,12,0.0022%
28548,18,0.0033%
28552,9,0.0016%
28556,2,0.0004%
28557,2,0.0004%
28558,6,0.0011%
28560,117,0.0212%
28561,8,0.0015%
28564,13,0.0024%
28565,10,0.0018%
28566,13,0.0024%
28567,1,0.0002%
28569,9,0.0016%
28574,19,0.0034%
28575,2,0.0004%
28576,11,0.002%
28583,2,0.0004%
28589,3,0.0005%
28595,6,0.0011%
28598,17,0.0031%
28600,30,0.0054%
28608,10,0.0018%
28611,10,0.0018%
28612,5,0.0009%
28613,1,0.0002%
28614,7,0.0013%
28615,4,0.0007%
28616,13,0.0024%
28620,47,0.0085%
28623,50,0.0091%
28625,1,0.0002%
28628,1,0.0002%
28630,1,0.0002%
28633,18,0.0033%
28634,68,0.0123%
28635,22,0.004%
28638,5,0.0009%
28640,12,0.0022%
28644,28,0.0051%
28650,5,0.0009%
28652,3,0.0005%
28656,6,0.0011%
28658,16,0.0029%
28659,7,0.0013%
28662,3,0.0005%
28665,26,0.0047%
28667,2,0.0004%
28670,8,0.0015%
28672,6,0.0011%
28674,12,0.0022%
28675,10,0.0018%
28676,1,0.0002%
28679,3,0.0005%
28680,3,0.0005%
28684,64,0.0116%
28688,13,0.0024%
28689,1,0.0002%
28690,9,0.0016%
28696,8,0.0015%
28700,80,0.0145%
28702,4,0.0007%
28704,19,0.0034%
28710,46,0.0083%
28712,16,0.0029%
28714,1,0.0002%
28718,8,0.0015%
28724,7,0.0013%
28726,3,0.0005%
28728,33,0.006%
28730,13,0.0024%
28731,4,0.0007%
28737,9,0.0016%
28743,84,0.0152%
28750,25,0.0045%
28755,7,0.0013%
28756,22,0.004%
28757,17,0.0031%
28762,11,0.002%
28764,79,0.0143%
28767,2,0.0004%
28768,8,0.0015%
28770,19,0.0034%
28773,25,0.0045%
28776,6,0.0011%
28779,17,0.0031%
28782,4,0.0007%
28783,2,0.0004%
28784,3,0.0005%
28785,7,0.0013%
28792,8,0.0015%
28797,1,0.0002%
28798,21,0.0038%
28800,36,0.0065%
28801,1,0.0002%
28804,2,0.0004%
28808,2,0.0004%
28809,4,0.0007%
28810,1,0.0002%
28812,7,0.0013%
28815,3,0.0005%
28819,7,0.0013%
28820,2,0.0004%
28826,43,0.0078%
28830,4,0.0007%
28832,12,0.0022%
28836,24,0.0044%
28840,111,0.0201%
28841,6,0.0011%
28842,35,0.0063%
28847,19,0.0034%
28851,9,0.0016%
28853,1,0.0002%
28854,2,0.0004%
28855,8,0.0015%
28858,4,0.0007%
28860,27,0.0049%
28861,3,0.0005%
28864,10,0.0018%
28865,20,0.0036%
28866,2,0.0004%
28875,54,0.0098%
28880,8,0.0015%
28884,19,0.0034%
28886,39,0.0071%
28888,6,0.0011%
28890,13,0.0024%
28891,15,0.0027%
28892,6,0.0011%
28896,24,0.0044%
28897,1,0.0002%
28899,33,0.006%
28900,9,0.0016%
28905,103,0.0187%
28906,18,0.0033%
28907,6,0.0011%
28908,14,0.0025%
28910,6,0.0011%
28912,16,0.0029%
28914,9,0.0016%
28917,6,0.0011%
28919,3,0.0005%
28920,1,0.0002%
28923,1,0.0002%
28925,1,0.0002%
28928,12,0.0022%
28930,2,0.0004%
28938,27,0.0049%
28943,2,0.0004%
28944,29,0.0053%
28946,2,0.0004%
28950,11,0.002%
28951,2,0.0004%
28952,11,0.002%
28956,6,0.0011%
28959,5,0.0009%
28960,17,0.0031%
28967,1,0.0002%
28968,88,0.016%
28971,2,0.0004%
28975,3,0.0005%
28980,81,0.0147%
28982,1,0.0002%
28985,20,0.0036%
28987,4,0.0007%
28990,3,0.0005%
28992,8,0.0015%
28994,4,0.0007%
28997,2,0.0004%
28998,14,0.0025%
29000,40,0.0073%
29003,1,0.0002%
29008,9,0.0016%
29014,15,0.0027%
29016,25,0.0045%
29025,6,0.0011%
29028,32,0.0058%
29029,27,0.0049%
29032,5,0.0009%
29036,1,0.0002%
29040,34,0.0062%
29041,5,0.0009%
29044,11,0.002%
29045,9,0.0016%
29046,77,0.014%
29050,8,0.0015%
29051,25,0.0045%
29052,4,0.0007%
29054,2,0.0004%
29055,4,0.0007%
29056,1,0.0002%
29058,13,0.0024%
29064,17,0.0031%
29068,30,0.0054%
29070,25,0.0045%
29072,6,0.0011%
29078,1,0.0002%
29079,1,0.0002%
29082,5,0.0009%
29083,2,0.0004%
29085,3,0.0005%
29088,28,0.0051%
29095,2,0.0004%
29097,2,0.0004%
29100,10,0.0018%
29103,1,0.0002%
29104,8,0.0015%
29106,17,0.0031%
29108,1,0.0002%
29110,76,0.0138%
29116,16,0.0029%
29118,3,0.0005%
29120,46,0.0083%
29125,13,0.0024%
29127,1,0.0002%
29133,12,0.0022%
29140,8,0.0015%
29141,17,0.0031%
29143,9,0.0016%
29145,6,0.0011%
29146,1,0.0002%
29149,6,0.0011%
29150,8,0.0015%
29151,3,0.0005%
29154,3,0.0005%
29155,1,0.0002%
29156,4,0.0007%
29158,5,0.0009%
29160,21,0.0038%
29164,1,0.0002%
29165,2,0.0004%
29172,42,0.0076%
29177,8,0.0015%
29181,6,0.0011%
29183,2,0.0004%
29184,9,0.0016%
29187,49,0.0089%
29189,1,0.0002%
29190,26,0.0047%
29192,10,0.0018%
29193,1,0.0002%
29197,3,0.0005%
29200,8,0.0015%
29202,7,0.0013%
29204,8,0.0015%
29205,31,0.0056%
29210,8,0.0015%
29211,16,0.0029%
29212,5,0.0009%
29213,3,0.0005%
29216,16,0.0029%
29219,2,0.0004%
29223,9,0.0016%
29224,4,0.0007%
29225,9,0.0016%
29230,6,0.0011%
29232,52,0.0094%
29234,2,0.0004%
29237,29,0.0053%
29240,18,0.0033%
29241,6,0.0011%
29250,39,0.0071%
29252,45,0.0082%
29253,11,0.002%
29256,15,0.0027%
29260,50,0.0091%
29264,12,0.0022%
29274,18,0.0033%
29280,6,0.0011%
29282,3,0.0005%
29283,2,0.0004%
29290,37,0.0067%
29294,10,0.0018%
29295,17,0.0031%
29298,5,0.0009%
29299,2,0.0004%
29300,2,0.0004%
29302,24,0.0044%
