área bounding box,ocorrências,% do total,prop mín,prop max,prop média,,Total bounding boxes
21630,4,"0,0007%","0,2265372168","0,5097087379","0,4341077208",,
21631,1,"0,0002%","0,4349775785","0,4349775785","0,4349775785",,
21632,14,"0,0025%","0,1893491124","1,3203125","0,7593677356",,
21634,1,"0,0002%","0,1554959786","0,1554959786","0,1554959786",,
21638,3,"0,0005%","0,1776504298","0,1776504298","0,1776504298",,
21645,5,"0,0009%","0,1951951952","0,6324324324","0,4448972049",,
21646,7,"0,0013%","0,2883211679","1,1532846715","0,9888333047",,
21648,27,"0,0049%","0,3106060606","1,2424242424","0,9115254852",,
21655,1,"0,0002%","0,2327868852","0,2327868852","0,2327868852",,
21658,15,"0,0027%","0,3823529412","0,6538461538","0,4669683258",,
21659,6,"0,0011%","0,6759776536","0,6759776536","0,6759776536",,
21660,4,"0,0007%","0,2666666667","0,4166666667","0,3416666667",,
21663,21,"0,0038%","0,3180076628","0,3493975904","0,3479028319",,
21666,3,"0,0005%","1,1376811594","1,1376811594","1,1376811594",,
21669,1,"0,0002%","0,3991416309","0,3991416309","0,3991416309",,
21670,3,"0,0005%","0,5583756345","0,5583756345","0,5583756345",,
21672,16,"0,0029%","0,3255813953","1,3650793651","0,6115667682",,
21675,6,"0,0011%","0,2595155709","0,3333333333","0,2964244521",,
21679,6,"0,0011%","0,8159509202","1,2255639098","1,020757415",,
21680,8,"0,0015%","0,295202952","0,295202952","0,295202952",,
21681,15,"0,0027%","0,2457912458","4,0684931507","1,8573774272",,
21682,3,"0,0005%","0,252559727","3,9594594595","2,7238262153",,
21684,13,"0,0024%","0,2805755396","1,1223021583","0,8974394449",,
21690,5,"0,0009%","0,3734439834","0,3734439834","0,3734439834",,
21691,1,"0,0002%","0,5477386935","0,5477386935","0,5477386935",,
21692,2,"0,0004%","0,6203208556","0,6203208556","0,6203208556",,
21696,14,"0,0025%","0,1887905605","0,4247787611","0,391066161",,
21700,46,"0,0083%","0,1771428571","1,1071428571","0,6862232018",,
21708,14,"0,0025%","0,1343283582","1,2089552239","0,5042314881",,
21710,11,"0,0020%","0,7784431138","1,2846153846","1,0545370797",,
21712,5,"0,0009%","0,0974576271","0,6413043478","0,4319454679",,
21714,7,"0,0013%","0,2730496454","0,9155844156","0,7320030527",,
21715,7,"0,0013%","0,4697674419","0,4697674419","0,4697674419",,
21716,41,"0,0074%","0,3647540984","0,6853932584","0,5055225101",,
21717,7,"0,0013%","0,7426900585","0,7426900585","0,7426900585",,
21720,2,"0,0004%","0,6629834254","0,6629834254","0,6629834254",,
21721,1,"0,0002%","0,5270935961","0,5270935961","0,5270935961",,
21725,1,"0,0002%","0,1392405063","0,1392405063","0,1392405063",,
21726,23,"0,0042%","0,2320261438","1,0774647887","0,7460966424",,
21728,4,"0,0007%","0,4330357143","0,5773195876","0,4691066826",,
21730,9,"0,0016%","0,3094339623","0,5170731707","0,4478601012",,
21735,19,"0,0034%","0,5072463768","1,1925925926","0,8474398557",,
21736,26,"0,0047%","0,2657342657","1,0629370629","0,5986116616",,
21744,18,"0,0033%","0,238410596","1,0486111111","0,9877718502",,
21746,20,"0,0036%","0,3167938931","1,2671755725","1,0053963947",,
21749,1,"0,0002%","0,3807531381","0,3807531381","0,3807531381",,
21750,34,"0,0062%","0,2586206897","1,0344827586","0,5977579446",,
21754,14,"0,0025%","0,9798657718","4,0821917808","1,8836798487",,
21755,5,"0,0009%","0,4148471616","0,4148471616","0,4148471616",,
21756,15,"0,0027%","0,1103603604","1,0068027211","0,6922442851",,
21758,1,"0,0002%","0,3399209486","0,3399209486","0,3399209486",,
21760,14,"0,0025%","0,1882352941","1,1764705882","0,7616957721",,
21762,7,"0,0013%","0,1339950372","0,6290322581","0,3775913453",,
21771,15,"0,0027%","0,6949152542","0,6949152542","0,6949152542",,
21774,1,"0,0002%","0,1492146597","0,1492146597","0,1492146597",,
21775,1,"0,0002%","0,1940298507","0,1940298507","0,1940298507",,
21777,6,"0,0011%","0,1708683473","0,650273224","0,5703724113",,
21780,44,"0,0080%","0,2","1,25","0,7531346523",,
21783,13,"0,0024%","0,8616352201","1,1605839416","0,9076273311",,
21789,4,"0,0007%","0,3011152416","0,3011152416","0,3011152416",,
21792,7,"0,0013%","0,422907489","0,422907489","0,422907489",,
21797,1,"0,0002%","0,2312703583","0,2312703583","0,2312703583",,
21798,4,"0,0007%","0,1820809249","0,7283236994","0,5917630058",,
21800,18,"0,0033%","0,4587155963","0,545","0,4970642202",,
21801,14,"0,0025%","0,7633136095","1,3100775194","1,1929138244",,
21804,11,"0,0020%","0,2862318841","1,1449275362","0,7277980687",,
21805,60,"0,0109%","0,3632653061","0,3632653061","0,3632653061",,
21808,1,"0,0002%","0,6170212766","0,6170212766","0,6170212766",,
21809,1,"0,0002%","0,585492228","0,585492228","0,585492228",,
21812,12,"0,0022%","0,3082706767","1,2330827068","1,0085961856",,
21816,7,"0,0013%","0,2376237624","0,5346534653","0,3649222065",,
21823,11,"0,0020%","0,8853503185","1,1294964029","0,9741307128",,
21824,31,"0,0056%","0,1761363636","2,8181818182","0,507502838",,
21825,16,"0,0029%","0,2577319588","3,88","1,4872164948",,
21827,11,"0,0020%","0,2441471572","4,095890411","1,6447810677",,
21828,8,"0,0015%","0,476635514","0,5245098039","0,4826198003",,
21829,4,"0,0007%","0,3155893536","0,3155893536","0,3155893536",,
21830,3,"0,0005%","0,2508474576","0,6378378378","0,5088410444",,
21835,1,"0,0002%","0,1385390428","0,1385390428","0,1385390428",,
21836,7,"0,0013%","0,4858490566","0,5145631068","0,4940530709",,
21837,27,"0,0049%","0,3466135458","0,3466135458","0,3466135458",,
21838,19,"0,0034%","0,6815642458","0,6815642458","0,6815642458",,
21840,46,"0,0083%","0,1238095238","1,2923076923","0,6087414397",,
21842,6,"0,0011%","0,2055214724","1,2164179104","0,7850471569",,
21844,10,"0,0018%","0,3385826772","0,738372093","0,4984984435",,
21845,3,"0,0005%","0,3307392996","0,3307392996","0,3307392996",,
21846,1,"0,0002%","0,1993957704","0,1993957704","0,1993957704",,
21850,6,"0,0011%","0,4130434783","0,6052631579","0,5091533181",,
21854,3,"0,0005%","0,4394618834","0,4394618834","0,4394618834",,
21855,12,"0,0022%","0,3957446809","1,0992907801","0,7271410051",,
21861,4,"0,0007%","0,181556196","0,181556196","0,181556196",,
21867,2,"0,0004%","0,5634517766","0,5634517766","0,5634517766",,
21868,16,"0,0029%","0,2305194805","3,6883116883","1,1635694851",,
21870,10,"0,0018%","0,3","1,2","0,8244444444",,
21873,1,"0,0002%","0,2176656151","0,2176656151","0,2176656151",,
21875,11,"0,0020%","0,7142857143","1,4","0,7766233766",,
21877,7,"0,0013%","0,7844311377","1,2748091603","0,9945931474",,
21879,27,"0,0049%","0,4479638009","1,0699300699","0,8054721846",,
21883,1,"0,0002%","0,285198556","0,285198556","0,285198556",,
21888,35,"0,0063%","0,2368421053","1,0555555556","0,7643535923",,
21890,3,"0,0005%","0,1381909548","0,5527638191","0,4145728643",,
21894,81,"0,0147%","0,3071161049","0,691011236","0,4139518466",,
21895,15,"0,0027%","0,9602649007","1,0413793103","1,0035259192",,
21896,25,"0,0045%","0,3865546218","1,1838235294","0,7220789185",,
21899,1,"0,0002%","0,1699164345","0,1699164345","0,1699164345",,
21900,22,"0,0040%","0,2433333333","4,1095890411","1,8167330843",,
21901,5,"0,0009%","0,6685082873","0,6685082873","0,6685082873",,
21903,9,"0,0016%","0,9865771812","1,0136054422","1,0015928817",,
21904,7,"0,0013%","0,25",1,"0,5714285714",,
21909,3,"0,0005%","0,5422885572","0,5422885572","0,5422885572",,
21912,40,"0,0073%","0,3143939394","1,2575757576","0,9020776287",,
21917,7,"0,0013%","0,465437788","0,465437788","0,465437788",,
21920,11,"0,0020%","0,2919708029","1,1678832117","0,8899427671",,
21922,14,"0,0025%","0,4292035398","0,5824742268","0,4510993522",,
21924,32,"0,0058%","0,1810344828","0,724137931","0,4257548805",,
21930,23,"0,0042%","0,3294573643","1,3178294574","0,4810305518",,
21931,2,"0,0004%","0,377593361","0,377593361","0,377593361",,
21935,6,"0,0011%","0,076635514","0,5219512195","0,4477319353",,
21939,6,"0,0011%","0,2297734628","0,4835680751","0,4412689731",,
21942,14,"0,0025%","0,5120772947","1,152173913","0,7611397581",,
21944,7,"0,0013%","0,4928909953","0,4928909953","0,4928909953",,
21945,26,"0,0047%","0,4112554113","3,7012987013","1,286506476",,
21948,13,"0,0024%","0,3940677966","0,7005649718","0,5540157856",,
21951,7,"0,0013%","0,2988929889","0,2988929889","0,2988929889",,
21952,5,"0,0009%","0,4375","0,4375","0,4375",,
21960,30,"0,0054%","0,1694444444","0,6777777778","0,5497586521",,
21962,9,"0,0016%","0,8797468354","3,5189873418","1,201545093",,
21964,1,"0,0002%","3,8026315789","3,8026315789","3,8026315789",,
21970,20,"0,0036%","0,1923076923","1,3","0,9146153846",,
21971,2,"0,0004%","0,7341040462","0,7341040462","0,7341040462",,
21975,10,"0,0018%","0,2559726962","3,9066666667","2,4463890785",,
21976,14,"0,0025%","0,3059701493","1,223880597","0,4371002132",,
21978,10,"0,0018%","0,1981981982","0,5606060606","0,4391436891",,
21980,6,"0,0011%","0,8917197452","1,1214285714","0,968289354",,
21983,13,"0,0024%","0,3603238866","0,3603238866","0,3603238866",,
21984,6,"0,0011%","0,4192139738","0,4192139738","0,4192139738",,
21987,4,"0,0007%","0,1805157593","0,1805157593","0,1805157593",,
21988,7,"0,0013%","0,3849372385","0,3849372385","0,3849372385",,
21995,9,"0,0016%","0,3132075472","0,3132075472","0,3132075472",,
21996,9,"0,0016%","0,1229314421","1,1063829787","0,7907548847",,
22000,35,"0,0063%","0,1375","0,7102272727","0,4911571429",,
22005,4,"0,0007%","0,8282208589","1,2074074074","0,923017496",,
22008,9,"0,0016%","0,320610687","1,2824427481","0,7894351549",,
22010,11,"0,0020%","0,9161290323","1,0915492958","0,9639709223",,
22011,6,"0,0011%","0,3438735178","0,3438735178","0,3438735178",,
22015,4,"0,0007%","0,3281853282","0,3281853282","0,3281853282",,
22016,10,"0,0018%","0,1860465116","2,976744186","0,6516896802",,
22017,14,"0,0025%","0,687150838","0,687150838","0,687150838",,
22018,8,"0,0015%","0,4633027523","0,5396039604","0,4728404033",,
22019,2,"0,0004%","0,4273127753","0,4273127753","0,4273127753",,
22022,34,"0,0062%","0,2692307692","1,0769230769","0,7491318842",,
22032,37,"0,0067%","0,2098765432","1,1911764706","0,6740613162",,
22035,2,"0,0004%","0,191740413","0,5794871795","0,3856137962",,
22040,24,"0,0044%","0,2620689655","3,8157894737","1,556709392",,
22041,4,"0,0007%","0,3924050633","0,3924050633","0,3924050633",,
22042,4,"0,0007%","0,4813084112","0,5194174757","0,5003629435",,
22044,24,"0,0044%","0,1976047904","1,2651515152","1,121767828",,
22046,9,"0,0016%","0,2417218543","1,0342465753","0,835676918",,
22048,5,"0,0009%","0,4905660377","0,5096153846","0,4943759071",,
22050,56,"0,0102%","0,18","3,92","0,6807782637",,
22052,7,"0,0013%","0,2483221477","1,0067567568","0,7862131067",,
22057,7,"0,0013%","0,850931677","1,1751824818","0,9435747641",,
22058,2,"0,0004%","0,3048327138","0,3048327138","0,3048327138",,
22059,8,"0,0015%","0,7543859649","1,3255813953","0,8257853937",,
22064,2,"0,0004%","0,5685279188","0,5685279188","0,5685279188",,
22072,19,"0,0034%","0,3588709677","0,6966292135","0,5366384655",,
22074,4,"0,0007%","0,2756183746","0,2756183746","0,2756183746",,
22077,1,"0,0002%","0,4439461883","0,4439461883","0,4439461883",,
22078,31,"0,0056%","0,3120300752","1,2481203008","0,8884891981",,
22080,18,"0,0033%","0,215625","1,1594202899","0,6334918478",,
22082,6,"0,0011%","0,6740331492","0,6740331492","0,6740331492",,
22083,1,"0,0002%","0,1177829099","0,1177829099","0,1177829099",,
22088,4,"0,0007%","0,3505976096","0,3505976096","0,3505976096",,
22089,3,"0,0005%","0,5577889447","0,5577889447","0,5577889447",,
22090,1,"0,0002%","0,4","0,4","0,4",,
22098,10,"0,0018%","0,342519685","2,9195402299","0,9101140375",,
22100,34,"0,0062%","0,1911764706","1,3076923077","0,6715797179",,
22101,5,"0,0009%","0,8742138365","1,1438848921","0,9820822587",,
22102,5,"0,0009%","0,3346303502","0,3346303502","0,3346303502",,
22110,12,"0,0022%","0,1970149254","1,2313432836","0,7328735112",,
22113,13,"0,0024%","0,1794871795","0,619047619","0,4296150194",,
22116,13,"0,0024%","0,2611683849","0,587628866","0,4377547755",,
22119,7,"0,0013%","0,2409240924","0,4611872146","0,398254894",,
22120,17,"0,0031%","0,2821428571","3,5443037975","1,0284491012",,
22125,11,"0,0020%","0,2542372881","1,416","0,729651772",,
22126,7,"0,0013%","0,2474916388","4,0405405405","0,7893557676",,
22127,4,"0,0007%","0,5369458128","0,5369458128","0,5369458128",,
22134,28,"0,0051%","0,3907563025","2,5591397849","0,5369583317",,
22137,15,"0,0027%","0,898089172","1,1134751773","0,9986026411",,
22139,4,"0,0007%","0,775147929","1,2900763359","1,1613442342",,
22140,44,"0,0080%","0,162601626","1,2148148148","0,5756621089",,
22143,7,"0,0013%","0,6612021858","0,6612021858","0,6612021858",,
22144,6,"0,0011%","0,1849710983","0,7398843931","0,5549132948",,
22145,4,"0,0007%","0,4790697674","0,4790697674","0,4790697674",,
22148,19,"0,0034%","0,4336283186","0,5765306122","0,4561918386",,
22149,4,"0,0007%","0,5169082126","0,5169082126","0,5169082126",,
22152,9,"0,0016%","0,2746478873","1,0985915493","0,9183018338",,
22154,1,"0,0002%","0,5071770335","0,5071770335","0,5071770335",,
22155,15,"0,0027%","0,4976303318","0,4976303318","0,4976303318",,
22156,1,"0,0002%","0,1518324607","0,1518324607","0,1518324607",,
22160,2,"0,0004%","0,2888086643","0,2888086643","0,2888086643",,
22161,7,"0,0013%","0,3108614232","0,3574297189","0,3374718779",,
22165,11,"0,0020%","0,9225806452","1,0839160839","1,0252486516",,
22168,2,"0,0004%","0,2085889571","1,1985294118","0,7035591844",,
22172,3,"0,0005%","0,3817427386","0,3817427386","0,3817427386",,
22176,90,"0,0163%","0,1414141414","2,8636363636","0,7191342993",,
22177,1,"0,0002%","0,2024169184","0,2024169184","0,2024169184",,
22184,4,"0,0007%","0,3983050847","0,6276595745","0,4556437072",,
22185,20,"0,0036%","0,3256704981","2,9310344828","0,9040252423",,
22188,6,"0,0011%","0,3333333333","0,75","0,6111111111",,
22192,18,"0,0033%","0,2401315789","1,0410958904","0,8105097933",,
22194,5,"0,0009%","0,8456790123","1,1824817518","1,1151212039",,
22195,1,"0,0002%","0,5958549223","0,5958549223","0,5958549223",,
22196,12,"0,0022%","0,6927374302","0,6927374302","0,6927374302",,
22197,10,"0,0018%","0,9735099338","1,0272108844","1,0003604091",,
22199,9,"0,0016%","0,28113879","3,5569620253","3,1929816658",,
22200,21,"0,0038%","0,1621621622","4,0540540541","1,3058151008",,
22201,2,"0,0004%",1,1,1,,
22204,12,"0,0022%","0,3729508197","0,6703296703","0,4720771032",,
22208,6,"0,0011%","0,1844380403","0,1844380403","0,1844380403",,
22211,20,"0,0036%","0,7964071856","1,2556390977","1,1637927153",,
22213,10,"0,0018%","0,423580786","0,423580786","0,423580786",,
22218,8,"0,0015%","0,8571428571","1,1666666667","0,9345238095",,
22220,1,"0,0002%","0,5445544554","0,5445544554","0,5445544554",,
22222,8,"0,0015%","0,3025830258","0,3025830258","0,3025830258",,
22223,1,"0,0002%","0,2268370607","0,2268370607","0,2268370607",,
22225,5,"0,0009%","0,7257142857","0,7257142857","0,7257142857",,
22227,7,"0,0013%","0,3891213389","0,3891213389","0,3891213389",,
22230,53,"0,0096%","0,2736842105","1,3153846154","0,6633463194",,
22236,3,"0,0005%","0,4678899083","0,5343137255","0,4900311807",,
22240,9,"0,0016%","0,86875","1,1510791367","0,9314898082",,
22244,12,"0,0022%","0,2018072289","1,2388059701","1,0804598993",,
22248,45,"0,0082%","0,2330097087","0,5242718447","0,4745944704",,
22250,29,"0,0053%","0,356","1,424","0,5599814026",,
22253,5,"0,0009%","0,2664359862","3,7532467532","2,4325079765",,
22256,3,"0,0005%","0,4859813084","0,4859813084","0,4859813084",,
22258,2,"0,0004%","0,1727019499","0,1727019499","0,1727019499",,
22260,15,"0,0027%","0,3169811321","0,8805031447","0,5774064091",,
22261,4,"0,0007%","0,5736040609","0,5736040609","0,5736040609",,
22263,4,"0,0007%","0,679558011","0,679558011","0,679558011",,
22264,18,"0,0033%","0,347826087","0,6576086957","0,4500464127",,
22265,2,"0,0004%","0,2393442623","0,2393442623","0,2393442623",,
22270,16,"0,0029%","0,3244274809","1,2977099237","1,1431045128",,
22272,21,"0,0038%","0,1510416667","0,7356321839","0,3989998119",,
22274,19,"0,0034%","0,2458471761","4,0675675676","1,3105414384",,
22275,20,"0,0036%","0,1358024691","0,8181818182","0,3730729517",,
22278,21,"0,0038%","0,3966244726","3,5696202532","1,9307260205",,
22288,2,"0,0004%","0,5628140704","0,5628140704","0,5628140704",,
22294,9,"0,0016%","0,9044585987","1,1056338028","0,9715170001",,
22295,12,"0,0022%","0,1895043732","0,3714285714","0,3562682216",,
22300,5,"0,0009%","0,4484304933","0,4484304933","0,4484304933",,
22302,8,"0,0015%","0,6243386243","0,7118644068","0,700923684",,
22304,12,"0,0022%","0,3014705882","1,2058823529","0,8982245337",,
22308,33,"0,0060%","0,1952662722","3,6666666667","1,2732556876",,
22310,10,"0,0018%","0,4217391304","0,5927835052","0,4388435679",,
22311,11,"0,0020%","0,2012012012","0,552238806","0,5203262964",,
22317,7,"0,0013%","0,7456647399","1,3410852713","0,8307248158",,
22320,45,"0,0082%","0,3629032258","1,0763888889","0,7048934687",,
22321,3,"0,0005%","0,4570135747","0,4570135747","0,4570135747",,
22325,2,"0,0004%","0,0989473684","0,4042553191","0,2516013438",,
22326,7,"0,0013%","0,1666666667","0,6666666667","0,4523809524",,
22327,3,"0,0005%","0,3085501859","0,3085501859","0,3085501859",,
22330,33,"0,0060%","0,1354679803","3,7662337662","1,1599356756",,
22331,1,"0,0002%","1,1897810219","1,1897810219","1,1897810219",,
22336,1,"0,0002%","0,1833810888","0,1833810888","0,1833810888",,
22338,18,"0,0033%","0,2385620915","1,0479452055","0,7129952945",,
22344,46,"0,0083%","0,2585034014","3,8684210526","1,1881946715",,
22345,6,"0,0011%","0,5317073171","0,5317073171","0,5317073171",,
22348,17,"0,0031%","0,2450331126","4,0810810811","1,3182361364",,
22350,11,"0,0020%","0,2516778523","0,9933333333","0,7910636567",,
22351,39,"0,0071%","0,4746543779","0,4746543779","0,4746543779",,
22352,14,"0,0025%","0,3464566929","2,8863636364","0,6618551232",,
22355,3,"0,0005%","0,3231939163","0,3231939163","0,3231939163",,
22356,15,"0,0027%","0,378600823","1,1739130435","0,5257350748",,
22357,8,"0,0015%","0,2791519435","3,582278481","2,7564968466",,
22359,7,"0,0013%","0,3385214008","0,3385214008","0,3385214008",,
22360,44,"0,0080%","0,1889534884","1,3230769231","0,617318873",,
22363,2,"0,0004%","0,5119617225","0,5119617225","0,5119617225",,
22365,4,"0,0007%","0,1774647887","0,4929577465","0,3471942768",,
22366,7,"0,0013%","0,5023696682","0,5023696682","0,5023696682",,
22372,6,"0,0011%","0,3949579832","0,6329787234","0,4742982299",,
22374,16,"0,0029%","0,1946902655","0,5707070707","0,4325053634",,
22375,10,"0,0018%","0,6983240223","0,6983240223","0,6983240223",,
22378,16,"0,0029%","0,2005988024","1,2462686567","1,069945929",,
22379,11,"0,0020%","0,8633540373","1,1582733813","0,9705974351",,
22385,1,"0,0002%","0,6540540541","0,6540540541","0,6540540541",,
22386,46,"0,0083%","0,2717770035","3,6794871795","0,563970494",,
22388,1,"0,0002%","0,6010362694","0,6010362694","0,6010362694",,
22400,30,"0,0054%","0,1116071429","1,3671875","0,7062991071",,
22401,12,"0,0022%","0,7660818713","1,3053435115","1,0806511614",,
22407,3,"0,0005%","0,264604811","0,4199134199","0,3681438836",,
22410,16,"0,0029%","0,3074074074","1,2296296296","0,486911535",,
22411,1,"0,0002%","0,2377850163","0,2377850163","0,2377850163",,
22413,3,"0,0005%","0,3858921162","0,3858921162","0,3858921162",,
22419,9,"0,0016%","0,0985324948","1,1276595745","0,8186756273",,
22420,13,"0,0024%","0,2576271186","3,8815789474","2,5827660742",,
22422,7,"0,0013%","0,2442244224","0,454954955","0,4248505932",,
22425,5,"0,0009%","0,2508361204","0,5897435897","0,3186176143",,
22427,1,"0,0002%","0,0749542962","0,0749542962","0,0749542962",,
22428,35,"0,0063%","0,1769662921","0,7078651685","0,4541045632",,
22436,11,"0,0020%","0,2246835443","3,5949367089","1,2537439829",,
22437,2,"0,0004%","0,2924187726","0,2924187726","0,2924187726",,
22440,105,"0,0190%","0,1941176471","2,8977272727","1,1840786011",,
22442,7,"0,0013%","0,4279475983","0,4279475983","0,4279475983",,
22444,3,"0,0005%","0,1712707182","0,6850828729","0,5138121547",,
22445,2,"0,0004%","0,2","0,2","0,2",,
22446,20,"0,0036%","0,3295019157","2,9655172414","0,589104963",,
22448,3,"0,0005%","0,3770491803","0,3770491803","0,3770491803",,
22451,5,"0,0009%","0,9108280255","1,0979020979","0,9856576544",,
22454,6,"0,0011%","0,4724770642","0,5291262136","0,5102431638",,
22456,2,"0,0004%","0,1396508728","0,1396508728","0,1396508728",,
22464,22,"0,0040%","0,1823361823","1,0833333333","0,6421931656",,
22466,8,"0,0015%","0,3933054393","0,3933054393","0,3933054393",,
22468,7,"0,0013%","0,299270073","1,197080292","0,9138012157",,
22470,13,"0,0024%","0,4906542056","0,4906542056","0,4906542056",,
22472,12,"0,0022%","0,5","0,5","0,5",,
22473,6,"0,0011%","0,436123348","0,436123348","0,436123348",,
22475,18,"0,0033%","0,935483871","1,0689655172","0,9873934001",,
22477,38,"0,0069%","0,3684210526","1,2706766917","0,8271355748",,
22479,13,"0,0024%","0,7175141243","1,3937007874","0,769528483",,
22480,1,"0,0002%","0,2846975089","0,2846975089","0,2846975089",,
22484,3,"0,0005%","0,237012987","1,0547945205","0,7466198185",,
22487,4,"0,0007%","0,567839196","0,567839196","0,567839196",,
22490,21,"0,0038%","0,1878612717","1,3307692308","0,6761798895",,
22491,16,"0,0029%","0,1156462585","1,0408163265","0,7897381175",,
22493,4,"0,0007%","0,3062730627","0,3062730627","0,3062730627",,
22494,5,"0,0009%","0,8466257669","1,1811594203","1,1142526896",,
22496,23,"0,0042%","0,2434210526","3,8947368421","1,4326875503",,
22499,9,"0,0016%","0,9867549669","1,0134228188","0,9986073455",,
22500,35,"0,0063%","0,25","0,6944444444","0,5115238095",,
22504,8,"0,0015%","0,4181034483","0,5979381443","0,4405827853",,
22506,10,"0,0018%","0,1935483871","0,6505376344","0,3918466187",,
22509,5,"0,0009%","0,1653116531","0,6721311475","0,5707672487",,
22512,27,"0,0049%","0,1393034826","1,2537313433","0,793691924",,
22515,8,"0,0015%","0,4008438819","0,4008438819","0,4008438819",,
22517,4,"0,0007%","0,3517786561","0,3517786561","0,3517786561",,
22518,2,"0,0004%","0,2913669065","0,8580246914","0,5746957989",,
22523,8,"0,0015%","0,4529147982","0,4529147982","0,4529147982",,
22525,1,"0,0002%","0,320754717","0,320754717","0,320754717",,
22528,14,"0,0025%","0,1818181818","0,7272727273","0,4849837662",,
22532,23,"0,0042%","0,3282442748","1,3129770992","1,1605619833",,
22533,17,"0,0031%","0,3359073359","2,9770114943","0,5284824088",,
22536,2,"0,0004%","0,2300319489","0,2300319489","0,2300319489",,
22538,1,"0,0002%","0,6178010471","0,6178010471","0,6178010471",,
22540,20,"0,0036%","0,3755102041","1,15","0,6314818101",,
22542,10,"0,0018%","0,4615384615","3,7051282051","1,758974359",,
22545,10,"0,0018%","0,8083832335","1,237037037","0,8941139942",,
22550,4,"0,0007%","0,2981818182","0,5365853659","0,4769844789",,
22554,10,"0,0018%","0,1759776536","0,7039106145","0,6511173184",,
22555,11,"0,0020%","0,1873198847","0,1873198847","0,1873198847",,
22557,9,"0,0016%","0,2362459547","0,4703196347","0,4183032614",,
22560,22,"0,0040%","0,2836879433","3,525","1,1334703417",,
22561,2,"0,0004%","0,2627986348","0,2627986348","0,2627986348",,
22563,7,"0,0013%","0,2110091743","0,5265700483","0,4814899235",,
22568,25,"0,0045%","0,3669354839","0,6813186813","0,4567706487",,
22570,1,"0,0002%","0,6594594595","0,6594594595","0,6594594595",,
22572,31,"0,0056%","0,1929824561","3,9078947368","1,2299323169",,
22575,15,"0,0027%","0,0819047619","0,7371428571","0,5123041713",,
22576,11,"0,0020%","0,3051470588","1,2205882353","0,7782520456",,
22577,3,"0,0005%","0,5071090047","0,5071090047","0,5071090047",,
22578,20,"0,0036%","0,4976525822","1,1197183099","0,8000088582",,
22579,1,"0,0002%","0,1988130564","0,1988130564","0,1988130564",,
22581,1,"0,0002%","0,6062176166","0,6062176166","0,6062176166",,
22590,13,"0,0024%","0,3585657371","0,3585657371","0,3585657371",,
22594,13,"0,0024%","0,9050632911","1,1048951049","0,9665500031",,
22596,2,"0,0004%","0,312267658","0,312267658","0,312267658",,
22599,7,"0,0013%","0,2903225806","0,3827160494","0,3695169824",,
22600,15,"0,0027%","0,4424778761","0,565","0,4588141593",,
22601,6,"0,0011%","0,4163090129","0,4163090129","0,4163090129",,
22605,7,"0,0013%","0,8303030303","1,204379562","0,9906215439",,
22606,16,"0,0029%","0,3503937008","0,7134831461","0,6227107847",,
22608,14,"0,0025%","0,9171974522","1,0902777778","1,0408262562",,
22610,67,"0,0122%","0,2167182663","1,2781954887","1,0499105534",,
22616,13,"0,0024%","0,3424124514","0,3424124514","0,3424124514",,
22618,4,"0,0007%","0,3269961977","0,3269961977","0,3269961977",,
22620,21,"0,0038%","0,1487179487","3,7179487179","1,0012967875",,
22624,7,"0,0013%","0,1386138614","0,5544554455","0,4506655385",,
22625,11,"0,0020%","0,6906077348","1,448","0,7594615771",,
22630,20,"0,0036%","0,1698630137","1,0616438356","0,8799801149",,
22632,23,"0,0042%","0,2103658537","1,1884057971","0,5006051455",,
22638,18,"0,0033%","0,2619047619","1,0476190476","0,7471139971",,
22640,11,"0,0020%","0,2826855124","3,5375","2,0580388693",,
22644,14,"0,0025%","0,2042042042","1,0337837838","0,7227931713",,
22646,12,"0,0022%","0,1982248521","1,2611940299","0,9174026318",,
22648,12,"0,0022%","0,255033557","1,0201342282","0,8760045037",,
22650,10,"0,0018%","0,2483443709","4,0266666667","1,7570154525",,
22654,6,"0,0011%","0,3900414938","0,3900414938","0,3900414938",,
22655,5,"0,0009%","0,5837563452","0,5837563452","0,5837563452",,
22656,15,"0,0027%","0,406779661","1,3828125","0,717717161",,
22657,2,"0,0004%","0,8527607362","1,1726618705","1,0127113033",,
22659,24,"0,0044%","0,304029304","0,3654618474","0,3603424688",,
22660,12,"0,0022%","0,4681818182","0,5339805825","0,49559797",,
22663,38,"0,0069%","0,7572254335","1,320610687","1,2020032652",,
22671,2,"0,0004%","0,4323144105","0,4323144105","0,4323144105",,
22672,9,"0,0016%","0,4770642202","0,5240384615","0,4979416608",,
22680,64,"0,0116%","0,1382716049","1,2444444444","0,5868716931",,
22684,19,"0,0034%","0,4953271028","0,5047169811","0,4997749399",,
22685,5,"0,0009%","0,1862464183","0,1862464183","0,1862464183",,
22692,8,"0,0015%","0,6559139785","0,6775956284","0,6694650097",,
22695,9,"0,0016%","0,3183520599","0,3490196078","0,3319820812",,
22698,8,"0,0015%","0,2680412371","0,6030927835","0,4433595471",,
22700,2,"0,0004%","0,4405286344","0,4405286344","0,4405286344",,
22701,6,"0,0011%","0,2097264438","1,1418439716","0,8978018589",,
22704,56,"0,0102%","0,1918604651","2,9318181818","1,0423934109",,
22705,24,"0,0044%","0,3974895397","0,3974895397","0,3974895397",,
